symbol,entry,exit,pnl,type
AAPL,2025-05-13 15:54:00-04:00,2025-05-14 09:33:00-04:00,-31.500000000001194,SmartExit
AAPL,2025-05-14 09:57:00-04:00,2025-05-14 10:05:00-04:00,-14.000000000000057,SmartExit
AAPL,2025-05-14 10:18:00-04:00,2025-05-14 10:26:00-04:00,7.9999999999998295,SmartExit
AAPL,2025-05-14 12:32:00-04:00,2025-05-14 12:37:00-04:00,-3.0000000000001137,SmartExit
AAPL,2025-05-14 13:52:00-04:00,2025-05-14 13:55:00-04:00,-3.499999999999659,SmartExit
AAPL,2025-05-14 14:19:00-04:00,2025-05-14 14:22:00-04:00,-12.000000000000455,SmartExit
AAPL,2025-05-14 14:35:00-04:00,2025-05-14 14:37:00-04:00,-7.000000000000739,SmartExit
AAPL,2025-05-15 10:40:00-04:00,2025-05-15 10:49:00-04:00,9.499999999999886,SmartExit
AAPL,2025-05-15 11:24:00-04:00,2025-05-15 11:31:00-04:00,-13.500000000000512,SmartExit
AAPL,2025-05-15 13:23:00-04:00,2025-05-15 13:24:00-04:00,-4.5000000000001705,SmartExit
AAPL,2025-05-15 14:27:00-04:00,2025-05-15 14:43:00-04:00,22.000000000001307,SmartExit
AAPL,2025-05-15 15:08:00-04:00,2025-05-15 15:09:00-04:00,-7.000000000000739,SmartExit
AAPL,2025-05-15 15:47:00-04:00,2025-05-16 09:33:00-04:00,53.49999999999966,SmartExit
AAPL,2025-05-16 11:53:00-04:00,2025-05-16 11:55:00-04:00,-12.999999999999545,SmartExit
AAPL,2025-05-16 12:24:00-04:00,2025-05-16 12:29:00-04:00,-4.5000000000001705,SmartExit
AAPL,2025-05-16 12:47:00-04:00,2025-05-16 12:51:00-04:00,-8.500000000000796,SmartExit
AAPL,2025-05-16 13:13:00-04:00,2025-05-16 13:24:00-04:00,1.999999999999602,SmartExit
AAPL,2025-05-16 14:01:00-04:00,2025-05-16 14:03:00-04:00,-6.499999999999773,SmartExit
AAPL,2025-05-16 15:05:00-04:00,2025-05-16 15:16:00-04:00,-12.000000000000455,SmartExit
AAPL,2025-05-16 15:30:00-04:00,2025-05-16 15:36:00-04:00,-11.499999999999488,SmartExit
AAPL,2025-05-16 15:51:00-04:00,2025-05-19 09:30:00-04:00,-221.50000000000034,SL
AAPL,2025-05-19 10:52:00-04:00,2025-05-19 10:58:00-04:00,-8.99999999999892,SmartExit
AAPL,2025-05-19 11:01:00-04:00,2025-05-19 11:06:00-04:00,0.5000000000009663,SmartExit
AAPL,2025-05-19 12:13:00-04:00,2025-05-19 12:31:00-04:00,23.499999999999943,SmartExit
AAPL,2025-05-19 14:23:00-04:00,2025-05-19 14:29:00-04:00,-4.5000000000001705,SmartExit
AAPL,2025-05-19 15:05:00-04:00,2025-05-19 15:07:00-04:00,-4.999999999999716,SmartExit
AAPL,2025-05-19 15:49:00-04:00,2025-05-20 09:31:00-04:00,-48.99999999999949,SmartExit
AAPL,2025-05-20 09:52:00-04:00,2025-05-20 10:09:00-04:00,7.500000000000284,SmartExit
AAPL,2025-05-20 10:39:00-04:00,2025-05-20 10:43:00-04:00,-1.5000000000000568,SmartExit
AAPL,2025-05-20 12:28:00-04:00,2025-05-20 12:32:00-04:00,-3.0000000000001137,SmartExit
AAPL,2025-05-20 12:37:00-04:00,2025-05-20 12:45:00-04:00,-0.9999999999990905,SmartExit
AAPL,2025-05-20 15:08:00-04:00,2025-05-20 15:29:00-04:00,39.4999999999996,SmartExit
AAPL,2025-05-20 15:53:00-04:00,2025-05-21 09:30:00-04:00,-121.99999999999989,SL
AAPL,2025-05-21 10:01:00-04:00,2025-05-21 10:03:00-04:00,-4.5000000000001705,SmartExit
